c,clean_acc,ptb_acc,inv_acc,clean_loss,ptb_loss,inv_loss,inv_success_rate
0,1.0,0.0,0.800000011920929,0.005698725581169128,11.214875221252441,234.86865234375,0.2
5,1.0,0.0,0.800000011920929,0.005698725581169128,11.250967979431152,234.86865234375,0.2
10,0.9599999785423279,0.0,0.7300000190734863,0.2959323823451996,12.62425422668457,253.45005798339844,0.27
15,0.9800000190734863,0.0,0.7400000095367432,0.15148238837718964,12.287023544311523,301.9667053222656,0.26
20,0.9700000286102295,0.0,0.7200000286102295,0.15805256366729736,12.218936920166016,384.7313232421875,0.28
25,0.9599999785423279,0.0,0.7200000286102295,0.23403042554855347,10.406960487365723,253.63560485839844,0.28
30,0.949999988079071,0.0,0.75,0.21101582050323486,9.46740436553955,213.93431091308594,0.25
35,0.949999988079071,0.0,0.7400000095367432,0.1760563999414444,8.76308822631836,216.9527130126953,0.26
40,0.949999988079071,0.0,0.6700000166893005,0.16543830931186676,10.005555152893066,267.1533508300781,0.33
45,0.949999988079071,0.0,0.699999988079071,0.21143212914466858,8.595291137695312,269.7386169433594,0.3
50,0.9599999785423279,0.0,0.7400000095367432,0.2665967643260956,9.064388275146484,192.98422241210938,0.26
55,0.949999988079071,0.0,0.7599999904632568,0.25193536281585693,9.466029167175293,233.7866973876953,0.24
60,0.9399999976158142,0.0,0.7200000286102295,0.22161370515823364,8.35000991821289,210.96945190429688,0.28
65,0.949999988079071,0.0,0.7400000095367432,0.15052664279937744,9.434971809387207,210.8935089111328,0.26
70,0.9599999785423279,0.0,0.7400000095367432,0.17513643205165863,9.691763877868652,233.80941772460938,0.26
75,0.9599999785423279,0.0,0.8199999928474426,0.1355288177728653,8.153342247009277,164.67747497558594,0.18
80,0.9800000190734863,0.0,0.7099999785423279,0.10104888677597046,8.35128116607666,226.61746215820312,0.29
85,0.9700000286102295,0.0,0.7400000095367432,0.16147096455097198,8.000385284423828,190.39125061035156,0.26
90,0.9700000286102295,0.0,0.75,0.11487412452697754,10.049123764038086,234.4299774169922,0.25
95,0.9599999785423279,0.0,0.6800000071525574,0.1874856799840927,9.357034683227539,231.76492309570312,0.32
100,0.9700000286102295,0.0,0.699999988079071,0.09718554466962814,9.452617645263672,290.69500732421875,0.3
105,0.9599999785423279,0.0,0.7799999713897705,0.16233204305171967,7.887405872344971,151.57847595214844,0.22
110,0.9599999785423279,0.0,0.7400000095367432,0.2641806900501251,7.868640899658203,152.9971923828125,0.26
115,0.9599999785423279,0.0,0.7599999904632568,0.15362495183944702,7.297920227050781,186.1802978515625,0.24
120,0.9700000286102295,0.0,0.7599999904632568,0.08741328120231628,7.736389636993408,174.10873413085938,0.24
