c,clean_acc,ptb_acc,inv_acc,clean_loss,ptb_loss,inv_loss,inv_success_rate
0,1.0,0.0,0.800000011920929,0.005698725581169128,11.283085823059082,234.86865234375,0.2
5,0.7300000190734863,0.0,0.6100000143051147,0.7989101409912109,11.644851684570312,271.084228515625,0.39
10,0.7099999785423279,0.0,0.6299999952316284,0.8298949599266052,10.71849250793457,237.11492919921875,0.37
15,0.6700000166893005,0.0,0.6000000238418579,0.9120638370513916,10.261991500854492,232.3554229736328,0.4
20,0.6100000143051147,0.0,0.6100000143051147,1.1023304462432861,9.654391288757324,184.40863037109375,0.39
25,0.6299999952316284,0.0,0.6299999952316284,0.9331626296043396,8.482258796691895,120.22665405273438,0.37
30,0.5400000214576721,0.0,0.6000000238418579,1.0471336841583252,8.100576400756836,141.75225830078125,0.4
35,0.49000000953674316,0.0,0.5099999904632568,1.1677623987197876,7.079286098480225,161.42709350585938,0.49
40,0.46000000834465027,0.0,0.5299999713897705,1.1848801374435425,6.352009296417236,138.46827697753906,0.47
45,0.5699999928474426,0.0,0.5299999713897705,1.0818588733673096,5.930377006530762,132.91627502441406,0.47
50,0.5699999928474426,0.0,0.5199999809265137,1.1933990716934204,5.975411891937256,134.56520080566406,0.48
55,0.5099999904632568,0.0,0.4699999988079071,1.215551495552063,6.557097434997559,164.58074951171875,0.53
60,0.4300000071525574,0.0,0.46000000834465027,1.2849632501602173,6.140208721160889,181.8656463623047,0.54
65,0.4399999976158142,0.0,0.5099999904632568,1.3198667764663696,5.5583977699279785,140.95538330078125,0.49
70,0.5199999809265137,0.0,0.550000011920929,1.2325764894485474,5.413079261779785,109.79524230957031,0.45
75,0.4000000059604645,0.0,0.5099999904632568,1.3515297174453735,4.984926700592041,111.46727752685547,0.49
80,0.3799999952316284,0.0,0.5099999904632568,1.416237235069275,4.91119909286499,123.64054870605469,0.49
85,0.33000001311302185,0.0,0.4099999964237213,1.5986615419387817,5.987991809844971,168.7748565673828,0.59
90,0.41999998688697815,0.0,0.5400000214576721,1.3861346244812012,4.704259872436523,99.29081726074219,0.46
95,0.3799999952316284,0.0,0.49000000953674316,1.4294642210006714,5.840370178222656,143.25755310058594,0.51
100,0.4099999964237213,0.02500000037252903,0.49000000953674316,1.3713968992233276,4.064462661743164,90.5898666381836,0.51
105,0.41999998688697815,0.0,0.44999998807907104,1.5012835264205933,5.031610012054443,105.8300552368164,0.55
110,0.3499999940395355,0.0,0.4399999976158142,1.4726648330688477,4.699380874633789,105.0868148803711,0.56
115,0.46000000834465027,0.008999999612569809,0.5299999713897705,1.3507025241851807,4.277949333190918,84.53132629394531,0.47
120,0.4099999964237213,0.02199999988079071,0.4099999964237213,1.4622254371643066,4.586699485778809,97.10755920410156,0.59
125,0.4399999976158142,0.0010000000474974513,0.47999998927116394,1.3252766132354736,4.967147350311279,97.90270233154297,0.52
130,0.18000000715255737,0.004999999888241291,0.4399999976158142,1.7250852584838867,5.499536514282227,152.89151000976562,0.56
135,0.3700000047683716,0.004999999888241291,0.4099999964237213,1.5718618631362915,4.356797695159912,97.51580047607422,0.59
140,0.3100000023841858,0.032999999821186066,0.4300000071525574,1.6869676113128662,4.30867862701416,117.48999786376953,0.57
145,0.28999999165534973,0.009999999776482582,0.3799999952316284,1.7119436264038086,4.249835968017578,111.02392578125,0.62
150,0.33000001311302185,0.0,0.46000000834465027,1.5839611291885376,5.21292781829834,131.5956268310547,0.54
155,0.4000000059604645,0.013000000268220901,0.46000000834465027,1.4578604698181152,3.998493194580078,86.89289855957031,0.54
160,0.3400000035762787,0.0010000000474974513,0.46000000834465027,1.5331453084945679,4.041594982147217,89.77067565917969,0.54
165,0.3100000023841858,0.007000000216066837,0.36000001430511475,1.5611064434051514,3.9738364219665527,97.27644348144531,0.64
170,0.4099999964237213,0.027000000700354576,0.4099999964237213,1.5152478218078613,4.055630683898926,99.47782897949219,0.59
175,0.3400000035762787,0.0,0.3799999952316284,1.46962571144104,4.956833839416504,120.67310333251953,0.62
180,0.27000001072883606,0.0,0.2800000011920929,1.5924152135849,4.64663028717041,144.74136352539062,0.72
185,0.36000001430511475,0.007000000216066837,0.41999998688697815,1.4860329627990723,3.9096810817718506,96.41305541992188,0.58
190,0.23999999463558197,0.006000000052154064,0.3100000023841858,1.709653615951538,4.134343147277832,121.89227294921875,0.69
195,0.28999999165534973,0.017000000923871994,0.38999998569488525,1.7713361978530884,4.240068435668945,134.65655517578125,0.61
200,0.23999999463558197,0.0,0.30000001192092896,1.8214104175567627,3.957956552505493,119.65829467773438,0.7
205,0.23999999463558197,0.004000000189989805,0.3799999952316284,1.6667903661727905,4.712304592132568,138.74575805664062,0.62
210,0.20000000298023224,0.0,0.2800000011920929,1.7219667434692383,3.9289016723632812,107.95295715332031,0.72
215,0.30000001192092896,0.07400000095367432,0.3400000035762787,1.7273942232131958,3.256965398788452,88.34259796142578,0.66
220,0.23000000417232513,0.023000000044703484,0.3400000035762787,1.7653518915176392,3.9763545989990234,116.71943664550781,0.66
225,0.14000000059604645,0.0010000000474974513,0.3400000035762787,1.7138484716415405,4.265134334564209,130.80979919433594,0.66
230,0.15000000596046448,0.0,0.3400000035762787,1.8133999109268188,4.178253650665283,124.66356658935547,0.66
235,0.17000000178813934,0.0010000000474974513,0.3400000035762787,1.784176230430603,4.146667957305908,123.92125701904297,0.66
240,0.20000000298023224,0.0020000000949949026,0.36000001430511475,1.7834980487823486,4.046579360961914,115.88442993164062,0.64
245,0.2800000011920929,0.004999999888241291,0.4099999964237213,1.6392675638198853,3.8317973613739014,94.70755004882812,0.59
250,0.1899999976158142,0.0,0.41999998688697815,1.756426215171814,4.01618766784668,101.33757019042969,0.58
255,0.15000000596046448,0.0010000000474974513,0.3499999940395355,1.6846574544906616,4.287827968597412,119.68987274169922,0.65
260,0.23000000417232513,0.014999999664723873,0.3100000023841858,1.804743766784668,3.6789214611053467,111.21743774414062,0.69
265,0.33000001311302185,0.0020000000949949026,0.3199999928474426,1.581078052520752,3.9963343143463135,119.38728332519531,0.68
270,0.20000000298023224,0.0,0.25,1.7943495512008667,4.2866010665893555,158.30990600585938,0.75
275,0.11999999731779099,0.008999999612569809,0.3100000023841858,1.8462637662887573,4.621582508087158,160.51458740234375,0.69
280,0.20000000298023224,0.0,0.3199999928474426,1.8213391304016113,3.7871499061584473,120.29707336425781,0.68
285,0.20999999344348907,0.009999999776482582,0.3700000047683716,1.7295395135879517,3.9535512924194336,116.25059509277344,0.63
290,0.2199999988079071,0.01899999938905239,0.3700000047683716,1.7635194063186646,3.890723705291748,121.56490325927734,0.63
