c,clean_acc,ptb_acc,inv_acc,clean_loss,ptb_loss,inv_loss,inv_success_rate
0,0.9900000095367432,0.8799999952316284,0.5799999833106995,0.039386115968227386,0.3187183141708374,171.30035400390625,0.42
5,0.8999999761581421,0.44999998807907104,0.23999999463558197,0.3056749999523163,1.3982614278793335,321.2743225097656,0.76
10,0.949999988079071,0.6399999856948853,0.4099999964237213,0.10353615134954453,0.9664826393127441,142.3162078857422,0.59
15,0.9599999785423279,0.5899999737739563,0.38999998569488525,0.1706453114748001,1.0836063623428345,121.86318969726562,0.61
20,0.949999988079071,0.6100000143051147,0.3700000047683716,0.159774512052536,1.0652146339416504,126.37554931640625,0.63
25,0.949999988079071,0.6299999952316284,0.3400000035762787,0.1799851357936859,0.9645494818687439,117.29316711425781,0.66
30,0.9200000166893005,0.6200000047683716,0.38999998569488525,0.23959478735923767,0.9776694774627686,116.66057586669922,0.61
35,0.9100000262260437,0.6800000071525574,0.38999998569488525,0.2646140456199646,0.8180019855499268,83.17622375488281,0.61
40,0.9100000262260437,0.6200000047683716,0.38999998569488525,0.22856324911117554,1.0528072118759155,96.181640625,0.61
45,0.9100000262260437,0.6499999761581421,0.4399999976158142,0.2392745167016983,0.9222829937934875,85.01313781738281,0.56
50,0.9200000166893005,0.699999988079071,0.4000000059604645,0.2489631325006485,0.8050519824028015,85.712646484375,0.6
55,0.9200000166893005,0.6499999761581421,0.4000000059604645,0.25896868109703064,0.9877594113349915,61.08549880981445,0.6
60,0.9100000262260437,0.6499999761581421,0.3199999928474426,0.2603217661380768,0.9475097060203552,67.61149597167969,0.68
65,0.8999999761581421,0.6100000143051147,0.28999999165534973,0.2968592345714569,1.0758846998214722,55.944419860839844,0.71
70,0.8999999761581421,0.5600000023841858,0.28999999165534973,0.3773233890533447,1.1632695198059082,61.4505615234375,0.71
75,0.9300000071525574,0.5899999737739563,0.38999998569488525,0.28862541913986206,1.037949562072754,36.21141052246094,0.61
80,0.8999999761581421,0.550000011920929,0.4099999964237213,0.32722899317741394,1.1926147937774658,55.29962921142578,0.59
85,0.8899999856948853,0.49000000953674316,0.3799999952316284,0.3726024627685547,1.3574862480163574,32.9968376159668,0.62
90,0.9100000262260437,0.6399999856948853,0.4000000059604645,0.352681964635849,1.0127239227294922,31.387134552001953,0.6
95,0.9100000262260437,0.5899999737739563,0.3199999928474426,0.329089879989624,1.0467578172683716,42.1414909362793,0.68
100,0.8799999952316284,0.5600000023841858,0.3100000023841858,0.439630925655365,1.3366169929504395,46.319236755371094,0.69
105,0.9300000071525574,0.5600000023841858,0.3700000047683716,0.3489220142364502,1.332455039024353,32.157230377197266,0.63
110,0.9100000262260437,0.550000011920929,0.3199999928474426,0.3791235387325287,1.3285363912582397,27.89288330078125,0.68
115,0.9200000166893005,0.5099999904632568,0.3199999928474426,0.295242041349411,1.4298951625823975,34.84370040893555,0.68
120,0.949999988079071,0.4699999988079071,0.28999999165534973,0.3161903917789459,1.375356912612915,31.14012908935547,0.71
125,0.9200000166893005,0.5099999904632568,0.33000001311302185,0.30846136808395386,1.2604968547821045,34.732425689697266,0.67
130,0.8799999952316284,0.4300000071525574,0.33000001311302185,0.4202554225921631,1.4995911121368408,29.310102462768555,0.67
135,0.9100000262260437,0.46000000834465027,0.2800000011920929,0.3595551550388336,1.5157456398010254,45.970584869384766,0.72
140,0.949999988079071,0.38999998569488525,0.3100000023841858,0.30415186285972595,1.651846170425415,24.038293838500977,0.69
145,0.9100000262260437,0.4300000071525574,0.20000000298023224,0.40316441655158997,1.5528712272644043,34.68014144897461,0.8
150,0.9300000071525574,0.44999998807907104,0.3100000023841858,0.3522872030735016,1.4833554029464722,24.573705673217773,0.69
155,0.9100000262260437,0.49000000953674316,0.33000001311302185,0.44183290004730225,1.4632993936538696,26.6319522857666,0.67
160,0.9300000071525574,0.5299999713897705,0.36000001430511475,0.31568169593811035,1.264693021774292,27.089820861816406,0.64
165,0.9100000262260437,0.5099999904632568,0.2199999988079071,0.4181433618068695,1.481572151184082,23.924131393432617,0.78
170,0.8999999761581421,0.44999998807907104,0.25,0.41469016671180725,1.6302495002746582,31.3941593170166,0.75
175,0.9100000262260437,0.4300000071525574,0.3199999928474426,0.45674392580986023,1.55759859085083,24.489456176757812,0.68
180,0.8999999761581421,0.4000000059604645,0.3700000047683716,0.4761302173137665,1.5471404790878296,25.078454971313477,0.63
185,0.9300000071525574,0.4699999988079071,0.25999999046325684,0.4087482690811157,1.455183744430542,40.984012603759766,0.74
190,0.9300000071525574,0.49000000953674316,0.36000001430511475,0.33865904808044434,1.5046567916870117,40.85087203979492,0.64
195,0.9200000166893005,0.550000011920929,0.23999999463558197,0.4471289813518524,1.3707079887390137,23.576223373413086,0.76
200,0.9200000166893005,0.5,0.27000001072883606,0.41694876551628113,1.4084402322769165,30.647321701049805,0.73
205,0.8899999856948853,0.3199999928474426,0.28999999165534973,0.4638005197048187,1.7903027534484863,40.439002990722656,0.71
210,0.9200000166893005,0.23999999463558197,0.23000000417232513,0.3404839336872101,2.0402755737304688,45.99009704589844,0.77
215,0.8899999856948853,0.38999998569488525,0.1599999964237213,0.506990373134613,1.656296730041504,38.0300407409668,0.84
220,0.9399999976158142,0.4300000071525574,0.3199999928474426,0.5003365874290466,1.676742672920227,15.976004600524902,0.68
225,0.9599999785423279,0.36000001430511475,0.3100000023841858,0.4463438093662262,1.6815472841262817,22.465469360351562,0.69
230,0.9200000166893005,0.4399999976158142,0.10000000149011612,0.496118426322937,1.5764776468276978,55.51250457763672,0.9
235,0.8899999856948853,0.3400000035762787,0.2800000011920929,0.570957601070404,1.8501569032669067,36.78096008300781,0.72
240,0.9200000166893005,0.38999998569488525,0.20000000298023224,0.4383026957511902,1.7045289278030396,18.98911476135254,0.8
245,0.9200000166893005,0.3499999940395355,0.1899999976158142,0.4686466157436371,1.8003146648406982,20.74576187133789,0.81
250,0.9700000286102295,0.4300000071525574,0.20999999344348907,0.4490385353565216,1.5375953912734985,25.062602996826172,0.79
