i,clean_acc,ptb_acc,inv_acc
0,0.800000011920929,0.0,1.0
1,0.699999988079071,0.0,0.9800000190734863
2,0.7300000190734863,0.0,0.9599999785423279
3,0.7900000214576721,0.0,0.9700000286102295
4,0.7799999713897705,0.0,0.9700000286102295
5,0.800000011920929,0.0,0.9900000095367432
6,0.8100000023841858,0.0,0.9800000190734863
7,0.800000011920929,0.0,0.9800000190734863
8,0.7300000190734863,0.006000000052154064,0.9700000286102295
9,0.7599999904632568,0.02500000037252903,0.9700000286102295
10,0.7599999904632568,0.05299999937415123,0.9700000286102295
11,0.7900000214576721,0.003000000026077032,0.9700000286102295
12,0.800000011920929,0.041999999433755875,0.9700000286102295
13,0.7400000095367432,0.028999999165534973,0.9599999785423279
14,0.8100000023841858,0.07500000298023224,0.9700000286102295
15,0.7699999809265137,0.03500000014901161,0.9599999785423279
16,0.7900000214576721,0.02500000037252903,0.9700000286102295
17,0.7599999904632568,0.020999999716877937,0.9599999785423279
18,0.75,0.013000000268220901,0.9700000286102295
19,0.7599999904632568,0.014000000432133675,0.9700000286102295
20,0.75,0.017000000923871994,0.9700000286102295
21,0.75,0.01899999938905239,0.9800000190734863
22,0.75,0.07400000095367432,0.9599999785423279
23,0.75,0.012000000104308128,0.9800000190734863
24,0.7599999904632568,0.052000001072883606,0.9700000286102295
25,0.7599999904632568,0.050999999046325684,0.9700000286102295
26,0.7900000214576721,0.12200000137090683,0.9800000190734863
27,0.7900000214576721,0.039000000804662704,0.9700000286102295
28,0.7599999904632568,0.06800000369548798,0.9800000190734863
29,0.800000011920929,0.06400000303983688,0.9700000286102295
30,0.7599999904632568,0.08500000089406967,0.9599999785423279
31,0.7799999713897705,0.06199999898672104,0.9700000286102295
32,0.75,0.0989999994635582,0.9700000286102295
33,0.7699999809265137,0.02199999988079071,0.9800000190734863
34,0.7699999809265137,0.054999999701976776,0.9700000286102295
35,0.7599999904632568,0.10199999809265137,0.9800000190734863
36,0.7799999713897705,0.01899999938905239,0.9700000286102295
37,0.7400000095367432,0.11800000071525574,0.9800000190734863
38,0.7799999713897705,0.061000000685453415,0.9800000190734863
39,0.7599999904632568,0.12600000202655792,0.9800000190734863
40,0.75,0.09700000286102295,0.9900000095367432
41,0.7900000214576721,0.06300000101327896,0.9800000190734863
42,0.7599999904632568,0.04899999871850014,0.9800000190734863
43,0.7300000190734863,0.07900000363588333,0.9700000286102295
44,0.7599999904632568,0.12200000137090683,0.9700000286102295
