i,clean_acc,ptb_acc,inv_acc
0,1.0,0.0,0.800000011920929
1,0.8999999761581421,0.0,0.6600000262260437
2,0.9700000286102295,0.0,0.7400000095367432
3,0.9300000071525574,0.0,0.6800000071525574
4,0.9300000071525574,0.0,0.6899999976158142
5,0.9800000190734863,0.0,0.6499999761581421
6,0.9399999976158142,0.0,0.6800000071525574
7,0.9599999785423279,0.0,0.6899999976158142
8,0.949999988079071,0.009999999776482582,0.6299999952316284
9,0.7799999713897705,0.0,0.6499999761581421
10,0.9399999976158142,0.0,0.5600000023841858
11,0.9399999976158142,0.009999999776482582,0.6600000262260437
12,0.8600000143051147,0.019999999552965164,0.7300000190734863
13,0.9200000166893005,0.0,0.5699999928474426
14,0.8799999952316284,0.0,0.7300000190734863
15,0.9200000166893005,0.0,0.5699999928474426
16,0.8799999952316284,0.03999999910593033,0.6100000143051147
17,0.8999999761581421,0.0,0.550000011920929
18,0.8399999737739563,0.029999999329447746,0.699999988079071
19,0.9599999785423279,0.019999999552965164,0.6600000262260437
20,0.9300000071525574,0.09000000357627869,0.6800000071525574
21,0.9200000166893005,0.009999999776482582,0.6399999856948853
22,0.9200000166893005,0.029999999329447746,0.6899999976158142
23,0.9200000166893005,0.019999999552965164,0.6499999761581421
24,0.8399999737739563,0.03999999910593033,0.6399999856948853
25,0.9100000262260437,0.05000000074505806,0.6600000262260437
26,0.8999999761581421,0.10999999940395355,0.699999988079071
27,0.9599999785423279,0.05999999865889549,0.7200000286102295
28,0.8500000238418579,0.029999999329447746,0.6899999976158142
29,0.9700000286102295,0.029999999329447746,0.699999988079071
30,0.8100000023841858,0.03999999910593033,0.6800000071525574
31,0.9100000262260437,0.05999999865889549,0.6700000166893005
32,0.9599999785423279,0.05000000074505806,0.6899999976158142
33,0.8999999761581421,0.10000000149011612,0.6299999952316284
34,0.9100000262260437,0.07999999821186066,0.7200000286102295
35,0.9399999976158142,0.03999999910593033,0.6399999856948853
36,0.8799999952316284,0.17000000178813934,0.6899999976158142
37,0.9200000166893005,0.05999999865889549,0.7200000286102295
38,0.9599999785423279,0.10000000149011612,0.6299999952316284
39,0.9599999785423279,0.10999999940395355,0.7300000190734863
40,0.9200000166893005,0.029999999329447746,0.5899999737739563
41,0.9300000071525574,0.10999999940395355,0.7099999785423279
42,0.9800000190734863,0.009999999776482582,0.6399999856948853
43,0.9300000071525574,0.12999999523162842,0.6499999761581421
44,0.9599999785423279,0.07000000029802322,0.7099999785423279
45,0.8399999737739563,0.18000000715255737,0.6700000166893005
46,0.8799999952316284,0.10999999940395355,0.6899999976158142
47,0.9200000166893005,0.11999999731779099,0.6200000047683716
48,0.8799999952316284,0.10999999940395355,0.5899999737739563
49,0.8199999928474426,0.0,0.6899999976158142
50,0.9300000071525574,0.05999999865889549,0.7200000286102295
51,0.8799999952316284,0.10999999940395355,0.699999988079071
52,0.8500000238418579,0.05000000074505806,0.6000000238418579
53,0.8999999761581421,0.03999999910593033,0.699999988079071
54,0.9200000166893005,0.1599999964237213,0.7300000190734863
55,0.9399999976158142,0.07999999821186066,0.75
56,0.8799999952316284,0.18000000715255737,0.6100000143051147
57,0.9100000262260437,0.14000000059604645,0.7200000286102295
58,0.9399999976158142,0.15000000596046448,0.6600000262260437
59,0.9700000286102295,0.09000000357627869,0.7200000286102295
60,0.949999988079071,0.05999999865889549,0.7099999785423279
61,0.8399999737739563,0.14000000059604645,0.7300000190734863
62,0.9200000166893005,0.12999999523162842,0.7300000190734863
63,0.9200000166893005,0.10000000149011612,0.6800000071525574
64,0.9599999785423279,0.17000000178813934,0.6700000166893005
65,0.9100000262260437,0.12999999523162842,0.6100000143051147
66,0.8999999761581421,0.17000000178813934,0.7300000190734863
67,0.9200000166893005,0.14000000059604645,0.7099999785423279
68,0.9100000262260437,0.20000000298023224,0.6600000262260437
69,0.9200000166893005,0.07999999821186066,0.75
70,0.8999999761581421,0.15000000596046448,0.6499999761581421
71,0.949999988079071,0.14000000059604645,0.6899999976158142
72,0.9300000071525574,0.12999999523162842,0.699999988079071
73,0.9599999785423279,0.12999999523162842,0.7200000286102295
74,0.8799999952316284,0.05999999865889549,0.6800000071525574
75,0.8500000238418579,0.05000000074505806,0.6899999976158142
76,0.9100000262260437,0.23999999463558197,0.6499999761581421
77,0.9300000071525574,0.10999999940395355,0.7300000190734863
78,0.949999988079071,0.09000000357627869,0.7200000286102295
79,0.949999988079071,0.07000000029802322,0.6499999761581421
80,0.9300000071525574,0.27000001072883606,0.7200000286102295
81,0.8899999856948853,0.15000000596046448,0.6800000071525574
82,0.9399999976158142,0.3700000047683716,0.7099999785423279
83,0.9700000286102295,0.05999999865889549,0.6100000143051147
84,0.8999999761581421,0.2199999988079071,0.699999988079071
85,0.9300000071525574,0.1599999964237213,0.699999988079071
86,0.9300000071525574,0.2800000011920929,0.6600000262260437
87,0.9800000190734863,0.20000000298023224,0.6899999976158142
88,0.9399999976158142,0.27000001072883606,0.7400000095367432
89,0.9599999785423279,0.10999999940395355,0.6100000143051147
90,0.9900000095367432,0.33000001311302185,0.7400000095367432
91,0.9100000262260437,0.10999999940395355,0.6399999856948853
92,0.949999988079071,0.20000000298023224,0.7599999904632568
93,0.9599999785423279,0.25999999046325684,0.699999988079071
94,0.949999988079071,0.23000000417232513,0.6600000262260437
